STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-02-0028-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0649-01	-0.0954	-0.1808	-0.4978	-0.2326	-0.5037	-0.0742
gbm_tcga_pan_can_atlas_2018	TCGA-16-0861-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0337-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0324-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0221-02	0.5118	2.9937	4.6456	2.8054	5.4605	1.7888
gbm_tcga_pan_can_atlas_2018	TCGA-16-0846-01	-1.4494	1.3721	0.7552	1.2281	0.2708	0.2113
gbm_tcga_pan_can_atlas_2018	TCGA-06-0187-01	0.5435	-0.8171	-0.668	-0.8389	-0.7975	-0.8808
gbm_tcga_pan_can_atlas_2018	TCGA-12-0692-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0159-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0386-01	0.4815	-0.4282	-0.0694	-0.6041	-0.446	-0.0587
gbm_tcga_pan_can_atlas_2018	TCGA-06-0165-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-15-0742-01	-1.4037	-0.7606	-0.3934	-0.626	0.0746	-0.1135
gbm_tcga_pan_can_atlas_2018	TCGA-02-0116-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0001-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0132-01	-1.0824	2.4981	2.2806	2.5224	1.1822	-0.0819
gbm_tcga_pan_can_atlas_2018	TCGA-06-0877-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0241-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0875-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0352-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0171-02	2.8983	-0.599	-0.6566	-0.7899	-0.8666	-0.896
gbm_tcga_pan_can_atlas_2018	TCGA-06-0194-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0271-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0703-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0150-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0654-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0169-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0618-01	-0.9916	0.6594	3.0933	1.9596	2.1694	5.419
gbm_tcga_pan_can_atlas_2018	TCGA-02-0047-01	0.9146	-0.1165	0.2666	-0.1389	-0.0467	-0.2072
gbm_tcga_pan_can_atlas_2018	TCGA-02-0057-01	NP	NP	NP	NP	NP	NP
